Na,Rm
10,3.16228
100,10.4403
200,15.6525
300,22.4722
400,28.6356
500,33.0606
600,37.1214
700,38.3275
800,40.6079
900,42.5793
1000,45.5412
1100,50.3587
1200,52.345
1300,54.4518
1400,55.7315
1500,57.5587
1600,59.3043
1700,62.0725
1800,64.1249
1900,68.0661
2000,70.1783
2100,72.9452
2200,74.686
2300,76.922
2400,78.1601
2500,80.2247
2600,82.4924
2700,84.4808
2800,85.7088
2900,86.7006
3000,88.459
10,3
100,13.6015
200,20.8087
300,26.6833
400,30.0832
500,34.4093
600,37.8021
700,40.7922
800,44.7214
900,48.5077
1000,53.7587
1100,55.9017
1200,61.8142
1300,61.8142
1400,63.6396
1500,65.6201
1600,67.082
1700,69.6348
1800,71.0211
1900,72.0069
2000,74.1485
2100,74.1485
2200,74.9533
2300,76.6877
2400,80.0812
2500,83.9345
2600,88.7694
2700,92.4175
2800,94.3663
2900,96.3172
3000,97.5141
10,3
100,13
200,18.6815
300,23.7697
400,30.0832
500,33.6155
600,39.8497
700,42.0595
800,44.0114
900,49.3964
1000,55.0818
1100,57.0088
1200,59.9083
1300,63.0635
1400,65
1500,65.9697
1600,68.0661
1700,71.8471
1800,74.8131
1900,76.7919
2000,80.7527
2100,85.5862
2200,87.4643
2300,90.5539
2400,93.0591
2500,94.2019
2600,96.5091
2700,98.0612
2800,100.807
2900,102.391
3000,105.323
10,2.82843
100,13.9284
200,21.9317
300,27.2947
400,30.1496
500,33.0151
600,38.8973
700,42.3792
800,45.5412
900,49.2443
1000,51.8845
1100,55.9017
1200,58.6003
1300,60.4152
1400,63.5059
1500,66.8506
1600,68.1542
1700,70.9366
1800,74.0945
1900,78.3901
2000,80.6226
2100,82.4621
2200,84.309
2300,85.0882
2400,89.4707
2500,90.8735
2600,91.2853
2700,92.9624
2800,94.3398
2900,95.8541
3000,96.7729
10,3
100,13.1529
200,21.0238
300,30.0167
400,33.2415
500,40.0125
600,44.0114
700,49.0408
800,53.0848
900,54.4518
1000,55.5788
1100,56.5685
1200,59.3043
1300,61.6604
1400,66.0681
1500,66.1891
1600,71.1758
1700,73.3348
1800,75.326
1900,78.4092
2000,80.399
2100,80.399
2200,82.8734
2300,85.2115
2400,88.2836
2500,93.0591
2600,95.0368
2700,98.1529
2800,99.2975
2900,100.285
3000,102.421
10,3.16228
100,13.3417
200,19.4165
300,25.1794
400,30.0666
500,32.249
600,37.4833
700,39.2938
800,42.2019
900,46.8722
1000,51.9711
1100,58.2495
1200,61.6604
1300,65.4905
1400,69.7209
1500,72.0069
1600,75.9539
1700,77.1038
1800,78.7718
1900,82.3893
2000,86.3713
2100,87.2067
2200,90.1998
2300,91.1976
2400,94.2603
2500,95.2575
2600,97.2522
2700,104.307
2800,107.466
2900,109.458
3000,110.549
10,2.23607
100,16.0312
200,20.2237
300,24.3311
400,28.4253
500,31.1448
600,34.0147
700,39.1152
800,41.1096
900,46.0109
1000,47.4236
1100,50.8035
1200,54.7449
1300,56.0803
1400,58.2495
1500,61.6604
1600,65.6201
1700,66.9104
1800,69.3542
1900,71.4003
2000,73.7564
2100,77.8974
2200,80.1561
2300,81.5659
2400,83.0963
2500,84.5044
2600,85.1469
2700,85.7963
2800,87.3212
2900,87.367
3000,90.9725
10,3.16228
100,12.53
200,18.2483
300,26.0192
400,29.6142
500,33.9559
600,40.1622
700,41.6293
800,45.2217
900,48.0937
1000,50.0899
1100,52.3927
1200,54.231
1300,61
1400,64.0078
1500,66.0076
1600,69.0072
1700,72.0069
1800,75.0067
1900,78.0577
2000,82.0549
2100,86.0523
2200,86.093
2300,87.0919
2400,90.0888
2500,92.0489
2600,95.0474
2700,95.1315
2800,97.1854
2900,98.1835
3000,98.2497
10,4
100,14.0357
200,23.0868
300,30.1496
400,37.4833
500,43.566
600,48.2701
700,51.9711
800,55.9017
900,58.6941
1000,61.131
1100,64.195
1200,68.1836
1300,69.0652
1400,71.0634
1500,75.06
1600,78.0577
1700,80.0562
1800,82.0244
1900,84.0238
2000,85.0235
2100,88.0227
2200,93.0484
2300,95.0474
2400,96.1301
2500,97.0464
2600,99.0202
2700,104
2800,106
2900,108.005
3000,109.005
10,4
100,14.3178
200,22.2036
300,31.5753
400,37.108
500,43.2897
600,47.2652
700,51.3517
800,61.131
900,66.3702
1000,70.4557
1100,73.171
1200,78.1601
1300,80.2247
1400,83.2166
1500,91.2688
1600,94.2603
1700,95.7549
1800,99.1817
1900,101.178
2000,103.175
2100,106.075
2200,108.296
2300,111.072
2400,112.641
2500,113.635
2600,116.52
2700,117.017
2800,119
2900,120.599
3000,121.696
10,3.16228
100,15.2315
200,28.4429
300,31.3209
400,37.855
500,40.7922
600,44.911
700,49.7293
800,51.8652
900,54.1202
1000,54.626
1100,58.0775
1200,58.6941
1300,60.9262
1400,62.0725
1500,63.6946
1600,67.0671
1700,73.0821
1800,75.5844
1900,81.3204
2000,81.6088
2100,84.8999
2200,87.6413
2300,90.5207
2400,93.3006
2500,96.1665
2600,99.3277
2700,100.578
2800,102.201
2900,103.846
3000,106.042
10,3.60555
100,13
200,18.0278
300,22.8473
400,27.313
500,33.6155
600,39.9249
700,42.0595
800,46.5725
900,48.2701
1000,53.2353
1100,56.0803
1200,62.7694
1300,66.7308
1400,69.1158
1500,71.5612
1600,75.1665
1700,78.8162
1800,80.4487
1900,82.9277
2000,85.703
2100,86.5332
2200,88.7525
2300,92.1141
2400,95.1315
2500,96.566
2600,99.985
2700,103.942
2800,106.944
2900,108.301
3000,110.145
10,3.16228
100,14.1421
200,22.0227
300,25.1794
400,30.5287
500,35.3836
600,40.3113
700,44.6878
800,46.0977
900,49.0408
1000,53.2353
1100,59.808
1200,65.5515
1300,65.7951
1400,69.3181
1500,70.3278
1600,72.4017
1700,73.2462
1800,74.9466
1900,77.3886
2000,79.2023
2100,83.1925
2200,88.3912
2300,91.5478
2400,94.7048
2500,95.6347
2600,101.592
2700,103.465
2800,103.73
2900,105.948
3000,106.902
10,3
100,13.6015
200,20.1246
300,24.4131
400,29.5296
500,34.9285
600,41.2311
700,47.4342
800,48.3839
900,50.2892
1000,52.3927
1100,57.0088
1200,58.2495
1300,61.8142
1400,62.3618
1500,65.8027
1600,67.6831
1700,73.3485
1800,76.2955
1900,81.3941
2000,84.9294
2100,88.459
2200,88.955
2300,90.934
2400,92.0706
2500,95.0368
2600,97.0155
2700,99.5038
2800,101.597
2900,102.772
3000,104.58
10,2.82843
100,12.2066
200,18.3848
300,22
400,26.4197
500,31.4006
600,34.4093
700,37.4433
800,43.8292
900,45.7056
1000,51.788
1100,53.7122
1200,55.5428
1300,58.6941
1400,61.1882
1500,64.3273
1600,67.1193
1700,67.1193
1800,69.6419
1900,71.5891
2000,74.7262
2100,76.4003
2200,80.5233
2300,83.9345
2400,89.9889
2500,91.9239
2600,97.7446
2700,100.439
2800,103.092
2900,105.537
3000,107.708
10,4.12311
100,17.1172
200,24.1868
300,29.0172
400,32.5576
500,36.0555
600,38.3275
700,40.4475
800,42.4853
900,45.3542
1000,48.5077
1100,50.448
1200,53.6004
1300,59.0339
1400,62.1691
1500,62.8013
1600,66.0984
1700,67.6831
1800,70.6116
1900,75.505
2000,77.666
2100,79.4292
2200,79.4292
2300,81.3941
2400,82.3893
2500,84.1724
2600,85.1587
2700,89.3588
2800,91.351
2900,94.0851
3000,94.3398
10,3.16228
100,17.1172
200,23.3452
300,31.0161
400,39.1152
500,43.0116
600,45.0111
700,48.0104
800,50.01
900,52.0865
1000,53.2353
1100,56.2228
1200,57.4282
1300,61.131
1400,63.0714
1500,64.1249
1600,65.0692
1700,68.0661
1800,70.1783
1900,71.2531
2000,72.4431
2100,73.4098
2200,74.4312
2300,76.4199
2400,78.4092
2500,79.6304
2600,81.5414
2700,82.6378
2800,83.6002
2900,84.5931
3000,86.7006
10,3.60555
100,17.0294
200,27
300,31.0644
400,41.0488
500,46.2709
600,47.3814
700,51.6236
800,54.1295
900,56.7186
1000,58.0517
1100,60.4152
1200,64.7611
1300,67.3573
1400,70.5195
1500,73.736
1600,75.6108
1700,81.9329
1800,85.44
1900,88.6002
2000,92.0272
2100,92.9731
2200,93.6056
2300,94.5569
2400,95.8175
2500,97.7394
2600,100.305
2700,102.883
2800,104.403
2900,107.564
3000,109.202
10,4
100,14.0357
200,18.3848
300,24.0416
400,31.4006
500,35.805
600,40
700,43.0116
800,47.0106
900,51.1957
1000,55.109
1100,57.2713
1200,58.9406
1300,61
1400,63.6003
1500,65.2763
1600,67.3647
1700,74.4312
1800,75.6637
1900,76.7919
2000,79.2275
2100,81.6149
2200,85.4751
2300,86.5794
2400,95.2575
2500,97.3293
2600,99.3227
2700,102.313
2800,106.301
2900,108.296
3000,108.374
10,2.23607
100,13.1529
200,20.025
300,26.0192
400,30.0167
500,37.054
600,41.0122
700,48.0416
800,53.0377
900,57.1402
1000,60.0083
1100,64.195
1200,67.1193
1300,67.1193
1400,69.7209
1500,72.6911
1600,74.6726
1700,78.9177
1800,82.8734
1900,87.8237
2000,88.8144
2100,89.9444
2200,93.771
2300,97.5141
2400,99.4082
2500,101.494
2600,104.809
2700,108.78
2800,110.766
2900,112.752
3000,114.856
10,2.23607
100,14.8661
200,23.3452
300,31.241
400,35.609
500,39.8246
600,45.3982
700,49.2443
800,52.1728
900,54.5711
1000,57.0701
1100,59.0762
1200,60.0333
1300,64.3506
1400,68.6222
1500,70.7248
1600,73.5391
1700,76.3675
1800,77.1038
1900,78.5175
2000,80.025
2100,86.0233
2200,90.0222
2300,92.0054
2400,94.0213
2500,96.0469
2600,97.0824
2700,98.326
2800,101.316
2900,104.48
3000,105.929
10,2.23607
100,12.53
200,20.6155
300,24.5153
400,31.3847
500,33.2415
600,36.2353
700,38.9487
800,42.19
900,46.1411
1000,47.0744
1100,49.2443
1200,51.1957
1300,53.8516
1400,57.1402
1500,61.9112
1600,64.0078
1700,67.0075
1800,68.0661
1900,70.1783
2000,72.2772
2100,74.7262
2200,77.6209
2300,80.5233
2400,83.3607
2500,85
2600,86.885
2700,87.8635
2800,89.0505
2900,92.72
3000,95.6033
10,2.82843
100,12.0416
200,21.0238
300,26.4764
400,31.1448
500,34.1321
600,37.1618
700,38.9487
800,42.4264
900,48.2701
1000,51.7397
1100,55.6058
1200,58.6941
1300,61.5224
1400,64.3506
1500,65.7647
1600,67.082
1700,68.9638
1800,70.3278
1900,71.4213
2000,74.2765
2100,77.1557
2200,79.4796
2300,82.28
2400,83.2166
2500,88.955
2600,89.8888
2700,91.7061
2800,94.8683
2900,97.4064
3000,99.0202
10,3.60555
100,12
200,23
300,29.1548
400,31.257
500,36.4966
600,37.3363
700,42.2966
800,43.2897
900,46.0435
1000,48.0104
1100,52.0096
1200,55.0364
1300,56.1427
1400,59.0762
1500,63.0714
1600,63.1981
1700,65.192
1800,66.5282
1900,69.2604
2000,70.9366
2100,71.0634
2200,73.7564
2300,76.2365
2400,77.8332
2500,79.511
2600,82.4621
2700,83.4326
2800,85.8662
2900,87.8009
3000,88.5268
10,3.16228
100,13.3417
200,24.5153
300,26.1725
400,30.1496
500,38
600,40.1995
700,43.6807
800,48.2701
900,50.9608
1000,53.4509
1100,59.4811
1200,62.3618
1300,63.1506
1400,66.0984
1500,67.082
1600,70.5762
1700,73.6817
1800,74.9667
1900,77.6466
2000,78.0897
2100,78.7718
2200,79.4292
2300,81.5843
2400,83.863
2500,84.8528
2600,87.5728
2700,89.6772
2800,91.444
2900,93.4345
3000,95.5249
10,3.16228
100,14.3178
200,19.4165
300,27.2029
400,32.1403
500,36.1248
600,38.4838
700,46.0977
800,51.6236
900,55.1543
1000,56.0803
1100,58.3095
1200,60.7454
1300,63.5689
1400,64.5136
1500,66.6108
1600,69.0507
1700,71.7008
1800,75.6637
1900,78.7718
2000,81.2158
2100,82.6075
2200,83.9524
2300,87.2983
2400,87.2983
2500,90.0944
2600,92.0706
2700,93.5575
2800,93.9042
2900,94.7629
3000,96.7471
10,3.60555
100,13
200,21.095
300,26.9258
400,31
500,35.0571
600,43
700,44.0114
800,51.0392
900,54.037
1000,55.0818
1100,58.0086
1200,61.0328
1300,65.0692
1400,66.1211
1500,68.0294
1600,71.3442
1700,74.4312
1800,78.3135
1900,79.3095
2000,81.6149
2100,83.0241
2200,86.1452
2300,89.1403
2400,92.1358
2500,93.3809
2600,96.3328
2700,98.326
2800,99.4636
2900,100.319
3000,102.24
10,3.60555
100,11.1803
200,19.4165
300,25.5539
400,30.2324
500,35.2278
600,39.9625
700,41.7732
800,46.0977
900,48.4149
1000,54.6717
1100,60.4401
1200,63.1269
1300,64.2028
1400,70
1500,71.4003
1600,73.4098
1700,76.4199
1800,78.5175
1900,79.9062
2000,81.3204
2100,82.7587
2200,85.5628
2300,88.3912
2400,91.9239
2500,91.9239
2600,94.0691
2700,97.591
2800,100.419
2900,102.533
3000,105.418
10,3.60555
100,13.0384
200,18.6815
300,27.7308
400,29.1548
500,31.1127
600,34.2053
700,39.9625
800,42.72
900,44.2719
1000,46.2277
1100,52.2015
1200,54.037
1300,55.4707
1400,56.4004
1500,58.1378
1600,61.0574
1700,61.5873
1800,64.6607
1900,65.192
2000,68.0294
2100,72.0902
2200,74.3236
2300,78
2400,81.1542
2500,83.9345
2600,86.8159
2700,87.2353
2800,89.8109
2900,92.0272
3000,94.2444
10,2.23607
100,17.2627
200,25.1794
300,29.0689
400,32.249
500,36.1248
600,39.1152
700,42.107
800,43.566
900,47.0425
1000,48.0416
1100,49.2443
1200,53.3385
1300,56.4358
1400,59.0931
1500,60.4152
1600,61.327
1700,64.622
1800,67.4685
1900,68.0661
2000,70.859
2100,71.8471
2200,73.8241
2300,77.1622
2400,79.0253
2500,82.0244
2600,87.0517
2700,87.1436
2800,88.278
2900,91.444
3000,91.7878
10,3.16228
100,20.6155
200,23.5372
300,29.4109
400,34.1321
500,38.3275
600,39.0512
700,43.1856
800,46.2709
900,48
1000,51.6624
1100,56.0089
1200,57.0351
1300,60.0083
1400,62
1500,67.0075
1600,68.2642
1700,72
1800,77.1038
1900,79.1581
2000,83.0963
2100,86.209
2200,89.1403
2300,89.2749
2400,90.2718
2500,93.0054
2600,95.0053
2700,99.0051
2800,103.005
2900,105.005
3000,106.042
10,5
100,15.0333
200,21.3776
300,25.0799
400,28.6356
500,31.5753
600,34.5254
700,36.4966
800,38.6394
900,43.4166
1000,45.5412
1100,48.7647
1200,52.2015
1300,54.5619
1400,57.5847
1500,62.0967
1600,65.146
1700,67.9559
1800,71.8471
1900,74.4043
2000,77.201
2100,79.2023
2200,81.6088
2300,82.201
2400,83.1986
2500,84.5044
2600,85.4283
2700,85.703
2800,89.0225
2900,89.0225
3000,91.6788
10,4
100,16.1245
200,25
300,30.1496
400,36.4966
500,39.6232
600,41.7732
700,43.7379
800,51.0098
900,53.0848
1000,58.2151
1100,59.3043
1200,62.2896
1300,66.3702
1400,70.4557
1500,74.6726
1600,76.6551
1700,79.511
1800,81.3941
1900,84.3801
2000,86.7006
2100,87.8237
2200,91.0824
2300,95.7549
2400,97.7394
2500,98.732
2600,99.7246
2700,104.69
2800,106.677
2900,109.772
3000,110.653
10,4.12311
100,16.7631
200,21.2132
300,29
400,36.0139
500,42
600,46.0109
700,56.0357
800,58.6941
900,63.0079
1000,64.195
1100,68.469
1200,70.4557
1300,74.4312
1400,77.3175
1500,77.3175
1600,79.3095
1700,84.3445
1800,85.3288
1900,87.6641
2000,89.8053
2100,92.5419
2200,96.5194
2300,98.6154
2400,100.717
2500,102.489
2600,105.475
2700,108.462
2800,110.368
2900,112.009
3000,114.355
10,3.16228
100,13.8924
200,21.3776
300,27.2947
400,34.4384
500,41.2311
600,44.2945
700,50.0899
800,55.9017
900,57.7062
1000,60.9016
1100,63.9531
1200,66.2118
1300,70.2638
1400,72.0139
1500,74.3236
1600,75.6637
1700,77.9359
1800,79.0569
1900,82.4197
2000,85.44
2100,87.3613
2200,90.802
2300,93.0054
2400,95.8801
2500,97.8008
2600,99.7246
2700,105.019
2800,105.991
2900,106.963
3000,108.171
10,3.16228
100,15.5242
200,25.7099
300,33.9559
400,39.5601
500,42.72
600,47.0106
700,50.6952
800,53.8516
900,58.6941
1000,63.9062
1100,67.7791
1200,71.6938
1300,74.3303
1400,75.2728
1500,78.4474
1600,79.6994
1700,82.9699
1800,84.4038
1900,85.5102
2000,90.6091
2100,92.0706
2200,96.3379
2300,98.8585
2400,100.285
2500,102.259
2600,104.393
2700,107.355
2800,107.517
2900,109.659
3000,112.969
10,2.82843
100,15.0333
200,23.3452
300,28.2843
400,34.1321
500,40.05
600,46.0109
700,54.0093
800,59.0762
900,61.0737
1000,66.2722
1100,67.3647
1200,69.4622
1300,72.3395
1400,78.5175
1500,84.5931
1600,84.5931
1700,86.5794
1800,88.6848
1900,90.934
2000,90.934
2100,92.6553
2200,93.4345
2300,94.921
2400,97.0824
2500,99.0404
2600,100.807
2700,102.772
2800,104.738
2900,105.475
3000,107.299
10,2.23607
100,12.8062
200,19.6977
300,24.4131
400,28.8444
500,33.5261
600,36.4005
700,39.4081
800,43.6005
900,46.1736
1000,49.3356
1100,50.3289
1200,52.8394
1300,57.7062
1400,61.2944
1500,62.6498
1600,64.4127
1700,66.7308
1800,70.4911
1900,72.9452
2000,75.1798
2100,75.6637
2200,76.5376
2300,78.2943
2400,79.6492
2500,82.4621
2600,83.8689
2700,84.5813
2800,90.0777
2900,91.3893
3000,92.3093
10,4
100,14.0357
200,18.9737
300,25.9422
400,31.0161
500,34.5398
600,41.7612
700,48.5077
800,49.7293
900,52.8867
1000,57.0088
1100,58.6941
1200,61.4003
1300,65.8027
1400,69.9214
1500,70.8802
1600,72.5328
1700,75.1864
1800,76.4003
1900,77.1298
2000,79.3788
2100,79.3788
2200,81.5966
2300,82.5409
2400,85.3815
2500,88.2326
2600,89.1852
2700,89.1852
2800,90.1388
2900,91.7061
3000,95.8801
10,4.12311
100,14.1421
200,24.1661
300,27.4591
400,33.2415
500,35.4401
600,37.2156
700,40.8167
800,43.4166
900,46.5725
1000,48.8262
1100,51.9711
1200,53.7587
1300,57.8705
1400,61
1500,61.8142
1600,63.9531
1700,64.9384
1800,65.9242
1900,67.4759
2000,71.0211
2100,73.9797
2200,75.1332
2300,78.1025
2400,79.7621
2500,80.7527
2600,85.7088
2700,86.7006
2800,88.459
2900,90
3000,94.0479
